Instance,Best NV,Mean NV,Best TD,Mean TD,Mean runtime,Mean number of generations
c101,5,5.0,363.246800412,363.246800412,140.26569585800172,2393.5
c102,5,5.0,368.967386291,375.0375944075,289.21905796527864,4864.8
c103,5,5.0,381.479134919,411.1476947443999,463.8043676376343,7361.1
c104,5,5.0,450.311761003,496.0242291697001,435.758634352684,6551.0
c105,5,5.0,363.246800412,363.246800412,215.04719841480255,3618.6
c106,5,5.0,363.246800412,363.68338179540007,181.65965745449066,3088.2
c107,5,5.0,363.246800412,366.97662016389995,269.1183132886887,4510.8
c108,5,5.3,367.077752306,414.111894252,400.0927138328552,6438.1
c109,5,5.0,401.446889094,504.26276155899996,365.192969083786,5759.2
c201,2,2.0,444.960974201,444.9609742009999,176.67162628173827,3166.2
c202,2,2.0,470.046038446,514.2680990354,266.1316375017166,4509.9
c203,2,2.0,504.839076603,572.0965493316,379.7928152561188,5985.5
c204,2,2.0,542.96790815,617.5633589795,349.9242522478104,5320.4
c205,2,2.0,441.444077302,445.56870882640004,251.6639460325241,4453.3
c206,2,2.0,444.960974201,452.43253893459996,242.91028006076812,4224.9
c207,2,2.0,460.986796338,485.4137081944999,279.346377491951,4743.6
c208,2,2.0,352.292003031,361.38772553650006,296.83994152545927,5133.3
r101,12,12.0,1052.8395417,1066.27700035,233.02252304553986,3606.4
r102,10,10.0,958.672757774,990.3581284497999,301.0590158224106,4718.2
r103,8,8.0,843.299682859,869.4271256236001,304.9327392101288,4702.8
r104,7,7.0,764.277984913,808.9284479958999,262.98431446552274,3947.0
r105,9,9.1,949.394073799,992.5439944364,238.50140855312347,3675.9
r106,8,8.0,885.44782501,912.0349817230999,262.953338098526,4114.1
r107,7,7.0,815.602901462,857.2344990254002,234.73053886890412,3616.3
r108,7,7.0,794.866488933,824.437187803,277.47931151390077,4148.8
r109,8,8.2,918.989449876,963.5484801566001,217.2523189306259,3344.3
r110,7,7.8,857.414269769,892.0140933414999,316.54095482826233,4820.0
r111,7,7.0,808.591711985,860.5679809687001,355.6406998872757,5455.0
r112,7,7.0,783.445962235,833.4560119014001,324.65924685001374,4890.5
r201,3,3.0,925.496290987,950.6084473348999,256.56976068019867,4402.6
r202,2,2.1,936.014672983,973.6375916976998,295.29928250312804,5010.1
r203,2,2.0,853.402468914,901.0000059377,328.9716935157776,5205.6
r204,2,2.0,718.740519268,781.8295514568999,353.8500698328018,5441.4
r205,2,2.0,906.170188532,940.2380818572999,326.66751539707184,5318.9
r206,2,2.0,777.967924437,861.0388101374999,280.15585322380065,4610.3
r207,2,2.0,838.784363897,866.0135685466,288.76066715717315,4605.4
r208,2,2.0,732.129463959,769.3823145692,323.47286314964293,5013.5
r209,2,2.0,848.282319076,882.5856856876999,287.689862370491,4648.9
r210,2,2.0,875.875755573,928.3926217794,280.35934529304507,4514.4
r211,2,2.0,796.559049228,831.6020973963999,345.1315149784088,5386.0
rc101,8,8.4,959.310248569,972.5392131055002,269.5688139915466,4303.5
rc102,7,7.7,855.429696,907.2273151059001,283.1083606004715,4500.3
rc103,6,6.8,740.058585486,817.4118348852002,228.50482006072997,3627.3
rc104,5,5.6,590.2772246,665.1848240309001,310.7693954706192,4847.8
rc105,8,8.0,872.366912656,900.8670922100998,330.36802949905393,5250.6
rc106,7,7.2,838.132874382,881.3068878972001,294.4138513326645,4628.9
rc107,6,6.2,727.363509566,781.4660422064,306.08303475379944,4778.2
rc108,6,6.0,696.31474948,722.6113784538001,272.4266532897949,4265.5
rc201,3,3.0,859.885791593,889.9786760441,237.14822301864623,4111.2
rc202,3,3.0,800.71056663,820.8152972766,230.10645592212677,3970.0
rc203,2,2.0,757.667332578,817.9945353252999,367.2256536960602,5981.9
rc204,2,2.0,585.677636567,621.215441046,423.49381346702575,6628.0
rc205,3,3.0,837.052649332,865.3225391343001,325.68278715610506,5417.7
rc206,2,2.4,816.549491863,851.7907135734,278.12048230171206,4630.0
rc207,2,2.0,810.850658594,885.4311829536,259.8002243041992,4230.2
rc208,2,2.0,737.267451149,775.3317411511,389.0117569923401,6071.2
